"","PERSON_ID","PLAYER_LAST_NAME","PLAYER_FIRST_NAME","PLAYER_SLUG","TEAM_ID","TEAM_ABBREVIATION"
"2778","193","Mason","Anthony","anthony-mason","1610612752","NYK"
"2779","2046","Mason","Desmond","desmond-mason","1610612749","MIL"
"2780","1628412","Mason III","Frank","frank-mason-iii","1610612758","SAC"
"2781","2427","Mason Jr.","Roger","roger-mason-jr","1610612764","WAS"
"2782","763","Massenburg","Tony","tony-massenburg","1610612763","MEM"
"2783","77483","Mast","Eddie","eddie-mast","1610612752","NYK"
"2784","1628999","Maten","Yante","yante-maten","1610612748","MIA"
"2785","1629726","Mathews","Garrison","garrison-mathews","1610612737","ATL"
"2786","1628493","Mathiang","Mangok","mangok-mathiang","1610612766","CHA"
"2787","1629751","Mathias","Dakota","dakota-mathias","1610612763","MEM"
"2788","1631097","Mathurin","Bennedict","bennedict-mathurin","1610612754","IND"
"2789","77484","Matthews","Wes","wes-matthews","1610612737","ATL"
"2790","202083","Matthews","Wesley","wesley-matthews","1610612737","ATL"
"2791","77485","Maughan","Ariel","ariel-maughan","1610610034","BOM"
"2792","77486","Maxey","Marlon","marlon-maxey","1610612750","MIN"
"2793","1630178","Maxey","Tyrese","tyrese-maxey","1610612755","PHI"
"2794","101131","Maxiell","Jason","jason-maxiell","1610612765","DET"
"2795","77487","Maxwell","Cedric","cedric-maxwell","1610612738","BOS"
"2796","137","Maxwell","Vernon","vernon-maxwell","1610612745","HOU"
"2797","77489","May","Don","don-may","1610612737","ATL"
"2798","77490","May","Scott","scott-may","1610612741","CHI"
"2799","101118","May","Sean","sean-may","1610612766","CHA"
"2800","195","Mayberry","Lee","lee-mayberry","1610612749","MIL"
"2801","77492","Mayes","Clyde","clyde-mayes","1610612749","MIL"
"2802","77493","Mayes","Tharon","tharon-mayes","1610612755","PHI"
"2803","77495","Mayfield","Bill","bill-mayfield","1610612744","GSW"
"2804","77494","Mayfield","Ken","ken-mayfield","1610612752","NYK"
"2805","201953","Maynor","Eric","eric-maynor","1610612760","OKC"
"2806","201564","Mayo","O.J.","oj-mayo","1610612763","MEM"
"2807","1630219","Mays","Skylar","skylar-mays","1610612747","LAL"
"2808","77496","Mays","Travis","travis-mays","1610612758","SAC"
"2809","77497","Mazza","Matt","matt-mazza","1610610033","SHE"
"2810","201601","Mbah a Moute","Luc","luc-mbah-a-moute","1610612749","MIL"
"2811","2788","Mbenga","DJ","dj-mbenga","1610612747","LAL"
"2812","77498","McAdoo","Bob","bob-mcadoo","1610612746","LAC"
"2813","203949","McAdoo","James Michael","james-michael-mcadoo","1610612744","GSW"
"2814","77499","McBride","Ken","ken-mcbride","1610612737","ATL"
"2815","1630540","McBride","Miles","miles-mcbride","1610612752","NYK"
"2816","1628769","McCall","Tahjere","tahjere-mccall","1610612751","BKN"
"2817","203492","McCallum","Ray","ray-mccallum","1610612758","SAC"
"2818","737","McCann","Bob","bob-mccann","1610612750","MIN"
"2819","77500","McCann","Brendan","brendan-mccann","1610612752","NYK"
"2820","77502","McCants","Mel","mel-mccants","1610612747","LAL"
"2821","101119","McCants","Rashad","rashad-mccants","1610612750","MIN"
"2822","77503","McCarron","Mike","mike-mccarron","1610610035","HUS"
"2823","77504","McCarter","Andre","andre-mccarter","1610612758","SAC"
"2824","77505","McCarter","Willie","willie-mccarter","1610612747","LAL"
"2825","77506","McCarthy","Johnny","johnny-mccarthy","1610612737","ATL"
"2826","77507","McCarty","Howie","howie-mccarty","1610610028","DEF"
"2827","1820","McCarty","Kelly","kelly-mccarty","1610612743","DEN"
"2828","962","McCarty","Walter","walter-mccarty","1610612738","BOS"
"2829","1043","McCaskill","Amal","amal-mccaskill","1610612755","PHI"
"2830","1627775","McCaw","Patrick","patrick-mccaw","1610612761","TOR"
"2831","77509","McClain","Dwayne","dwayne-mcclain","1610612754","IND"
"2832","77510","McClain","Ted, Hound Dog","ted,-hound-dog-mcclain","1610612743","DEN"
"2833","2082","McClintock","Dan","dan-mcclintock","1610612743","DEN"
"2834","77512","McCloskey","Jack","jack-mccloskey","1610612744","GSW"
